song_id,day,total_streams,unique_listeners,repeat_listeners,skips,completions,saves,shares,playlist_adds,repeat_rate,skip_rate,completion_rate,save_rate,share_rate,playlist_add_rate,previous_streams,stream_growth,previous_growth,growth_acceleration
S00001,2026-01-01,614535,434941,119880,170874,413283,35360,13485,20730,0.2756235903260442,0.2780541384949596,0.6725133637628451,0.08129838299907344,0.031004205168057276,0.04766163686568983,,0.0,,0.0
S00001,2026-01-02,576426,430877,129679,148176,395163,35450,12626,22624,0.30096524066032765,0.2570598827950162,0.6855398611443619,0.08227405965043388,0.029303026153635493,0.05250686390779735,614535.0,-0.06201274134101398,0.0,-0.06201274134101398
S00001,2026-01-03,562983,407391,112676,151993,374882,33555,12278,20592,0.2765795022472269,0.26997795670561986,0.6658851155363483,0.08236558981420797,0.03013812283531055,0.050546035626707515,576426.0,-0.023321293626588635,-0.06201274134101398,0.03869144771442534
S00001,2026-01-04,540091,374698,91806,147088,359336,29581,10727,20875,0.24501331739160603,0.2723392909713363,0.6653249174676119,0.07894624470907237,0.028628388729056466,0.055711533021259786,562983.0,-0.04066197380737957,-0.023321293626588635,-0.017340680180790935
S00001,2026-01-05,542887,402832,96225,151090,367814,32876,11551,20121,0.2388712912578941,0.2783083772497776,0.6775148419468509,0.08161218572506652,0.028674484648687295,0.049948862056638996,540091.0,0.005176905373353691,-0.04066197380737957,0.04583887918073326
S00001,2026-01-06,618450,453024,122136,164676,411651,35048,12865,23653,0.2696016105107014,0.2662721319427601,0.6656172689788988,0.07736455463728191,0.028398053966235785,0.05221136187045278,542887.0,0.13918734469604166,0.005176905373353691,0.13401043932268797
S00001,2026-01-07,574560,423629,115588,155844,383810,34074,12015,22439,0.2728519530060501,0.2712406015037594,0.6680068226120858,0.08043358693573859,0.028362080971793716,0.05296851726392669,618450.0,-0.07096774193548383,0.13918734469604166,-0.2101550866315255
S00001,2026-01-08,529071,387254,97373,141046,358960,32572,10679,18919,0.2514447881752028,0.2665918184893899,0.6784722655371396,0.08411017058571377,0.02757621612688313,0.04885424036936997,574560.0,-0.07917188805346698,-0.07096774193548383,-0.008204146117983147
S00001,2026-01-09,557620,408164,100339,148798,379904,33127,11384,19811,0.2458301075058065,0.2668448047057136,0.6812955059000754,0.08116100391019296,0.027890749796650367,0.04853686263364726,529071.0,0.05396062154228831,-0.07917188805346698,0.1331325095957553
S00001,2026-01-10,584711,418501,116208,153935,393079,32516,12259,20363,0.27767675585004575,0.26326681044139755,0.6722620234611628,0.07769634959056251,0.02929264207253985,0.0486569924564099,557620.0,0.04858326458878803,0.05396062154228831,-0.0053773569535002785
S00001,2026-01-11,576372,410916,112654,153733,387631,31524,12663,22012,0.27415335494358944,0.2667253093488233,0.672536139854122,0.07671640919311976,0.030816517244400314,0.053568125845671624,584711.0,-0.014261746401213582,0.04858326458878803,-0.06284501099000162
S00001,2026-01-12,630223,463769,130147,165104,423162,36335,12804,22864,0.28062893380109494,0.26197710968974475,0.6714480429943052,0.07834719440066068,0.027608572371158917,0.04930040602110102,576372.0,0.09343097860409588,-0.014261746401213582,0.10769272500530946
S00001,2026-01-13,523725,366860,103234,143996,354284,28029,10562,18628,0.2813988987624707,0.2749458208029023,0.6764695212181966,0.07640244234857985,0.02879027421904814,0.05077686310854277,630223.0,-0.16898462925028124,0.09343097860409588,-0.2624156078543771
S00001,2026-01-14,538881,385809,110225,147767,362054,30219,11237,18666,0.2856983636980993,0.2742108183439386,0.6718626190197836,0.07832632209201963,0.0291258109582721,0.04838145299876364,523725.0,0.028938851496491447,-0.16898462925028124,0.19792348074677268
S00002,2026-01-01,643275,466954,158335,141760,482063,53151,20005,36550,0.3390805090008866,0.2203723135517469,0.7493886751389375,0.11382491637291896,0.042841479032195894,0.07827323462268232,,0.0,,0.0
S00002,2026-01-02,646185,486182,148431,147946,479074,55252,21036,36349,0.30529925007507475,0.22895300881326555,0.7413883021116244,0.11364468450086593,0.0432677474690548,0.0747641829602906,643275.0,0.004523726244607618,0.0,0.004523726244607618
S00002,2026-01-03,555432,399134,140175,123840,411213,46179,17645,27158,0.3511978433308112,0.2229615866568725,0.7403480534070778,0.11569798613999309,0.044208210776330754,0.06804231160462401,646185.0,-0.14044430000696395,0.004523726244607618,-0.14496802625157157
S00002,2026-01-04,630711,437283,142611,139694,472375,49730,19343,32537,0.3261297603611391,0.22148654455051522,0.7489563365788768,0.11372497901816443,0.04423451174639764,0.07440719168135967,555432.0,0.1355323423929482,-0.14044430000696395,0.27597664239991215
S00002,2026-01-05,625849,489863,164314,139665,461287,55447,20966,34465,0.33542847694151223,0.22316085829009874,0.7370579804393712,0.11318878951870216,0.04279972155480206,0.070356405770593,630711.0,-0.007708760430688577,0.1355323423929482,-0.14324110282363678
S00002,2026-01-06,623519,459832,131965,139894,466410,53388,20407,34678,0.28698524678578263,0.2243620483096746,0.7480285284008987,0.11610327249952157,0.044379251552741,0.07541449920840655,625849.0,-0.0037229427545621974,-0.007708760430688577,0.00398581767612638
S00002,2026-01-07,652943,477648,155108,149227,475150,55127,20198,35188,0.324732857669246,0.22854521757641938,0.7277051748774396,0.1154134425350886,0.04228636987907413,0.073669312966871,623519.0,0.0471902219499325,-0.0037229427545621974,0.050913164704494696
S00002,2026-01-08,605429,441892,121060,138988,454210,50693,18957,31973,0.27395834276248493,0.2295694457979383,0.750228350475448,0.11471807590995085,0.04289962253220244,0.0723547835217655,652943.0,-0.07276898596048964,0.0471902219499325,-0.11995920791042214
S00002,2026-01-09,654777,456510,135691,148329,486995,54216,19409,33560,0.2972355479617095,0.22653361373414155,0.743757034837815,0.1187619110205691,0.042516045650697686,0.07351427131935774,605429.0,0.08150914475520654,-0.07276898596048964,0.15427813071569618
S00002,2026-01-10,762346,551472,202092,163087,572794,62902,23991,39624,0.366459221864392,0.2139277965648144,0.7513569953800505,0.11406200133460992,0.043503568630864305,0.07185133606057968,654777.0,0.16428341252059853,0.08150914475520654,0.08277426776539198
S00002,2026-01-11,690534,468323,148966,156446,514497,52203,19729,37353,0.3180838865483865,0.2265579971442391,0.7450712057624969,0.1114679398620183,0.04212690813818668,0.07975905518200045,762346.0,-0.09419869717949592,0.16428341252059853,-0.25848210970009444
S00002,2026-01-12,626969,436319,149387,144390,469052,51818,19828,30654,0.34238023097779374,0.2302984677073348,0.7481263028953584,0.11876173166880195,0.04544381519026217,0.07025593659684772,690534.0,-0.0920519482024057,-0.09419869717949592,0.002146748977090218
S00002,2026-01-13,643698,442416,170071,135330,480093,52055,18577,33058,0.3844142164840331,0.21023834158254337,0.7458357801329195,0.11766075367979459,0.041989891866478606,0.07472152905862356,626969.0,0.02668233995620195,-0.0920519482024057,0.11873428815860765
S00002,2026-01-14,681715,469017,175781,155417,508101,55637,19979,32154,0.37478598856757855,0.22797943422104544,0.7453275929090603,0.11862469803866385,0.04259760307195688,0.06855615041672264,643698.0,0.059060304677037934,0.02668233995620195,0.03237796472083598
S00003,2026-01-01,577608,429256,125546,163100,373661,29169,10629,16700,0.292473489013549,0.2823714352986801,0.6469110538635199,0.06795245727491288,0.024761447714184544,0.03890452317498183,,0.0,,0.0
S00003,2026-01-02,518389,392318,85706,146520,338038,27702,8595,14417,0.21846053456634668,0.2826448863691166,0.6520933121651887,0.07061108590480172,0.021908247900937504,0.03674825014401582,577608.0,-0.10252454952147472,0.0,-0.10252454952147472
S00003,2026-01-03,489144,350839,85853,139393,316464,22571,8819,14907,0.2447076864316681,0.28497334118378226,0.6469751238898974,0.06433435279430166,0.025136886150057432,0.042489574990237686,518389.0,-0.05641516313039052,-0.10252454952147472,0.046109386391084195
S00003,2026-01-04,557554,403179,101417,154158,359760,27337,8969,18088,0.2515433591531305,0.27648981085240176,0.6452469177873355,0.06780363064544533,0.022245702281120792,0.044863447749014705,489144.0,0.1398565657556874,-0.05641516313039052,0.1962717288860779
S00003,2026-01-05,542783,380205,87001,151977,349391,25240,9272,16877,0.22882655409581673,0.2799958731205657,0.6437029162667217,0.06638523954182612,0.024386843939453715,0.04438921108349443,557554.0,-0.026492501174774086,0.1398565657556874,-0.16634906693046148
S00003,2026-01-06,590762,430960,108644,167958,378769,30838,10251,18246,0.2520976424726193,0.2843073860539439,0.6411532901574577,0.07155652496751438,0.023786430295155002,0.04233803601262298,542783.0,0.08839444124079043,-0.026492501174774086,0.11488694241556452
S00003,2026-01-07,486426,345592,86514,137061,312149,24080,7576,13584,0.2503356559179611,0.2817715335940102,0.6417193982229569,0.06967753883191741,0.02192180374545707,0.03930646542744045,590762.0,-0.17661257833103683,0.08839444124079043,-0.26500701957182726
S00003,2026-01-08,601307,446111,113165,179943,388798,29717,11218,19141,0.2536700507272854,0.29925312693848566,0.6465881820767095,0.06661346615528423,0.025146208006527525,0.042906361869579544,486426.0,0.23617364203393731,-0.17661257833103683,0.41278622036497414
S00003,2026-01-09,538557,418052,104575,151321,354313,29240,10721,17239,0.2501483069091883,0.28097490144961446,0.6578932220730582,0.06994345201075464,0.025645135054969237,0.0412364968951231,601307.0,-0.10435601115569915,0.23617364203393731,-0.34052965318963646
S00003,2026-01-10,530061,366222,90101,152969,338343,25676,9182,14987,0.2460283653084741,0.2885875399246502,0.6383095530514412,0.07011047943597053,0.025072223951592202,0.040923265123340484,538557.0,-0.01577548894545977,-0.10435601115569915,0.08858052221023938
S00003,2026-01-11,581693,407907,96919,168280,375203,27110,9285,17693,0.23760072761683423,0.2892934933031685,0.6450189361054715,0.06646122768180002,0.0227625414616567,0.04337508304589036,530061.0,0.09740765685458852,-0.01577548894545977,0.11318314580004829
S00003,2026-01-12,542458,377812,89316,155302,348916,25755,8971,14949,0.2364032905254465,0.2862931323715384,0.6432129307706772,0.06816882470646776,0.023744613723227424,0.039567298021238075,581693.0,-0.06744966846773126,0.09740765685458852,-0.16485732532231978
S00003,2026-01-13,491872,352936,99238,139691,319996,23565,8363,15068,0.2811784572840402,0.2839986825840869,0.6505676273502049,0.0667684792710293,0.023695514200874946,0.04269329283496158,542458.0,-0.09325330255982955,-0.06744966846773126,-0.025803634092098293
S00003,2026-01-14,485098,351722,92703,143626,316724,24524,8399,13642,0.2635689550269815,0.29607625675636673,0.6529072476076999,0.06972552186101523,0.023879654954765413,0.03878631419132156,491872.0,-0.013771875609914774,-0.09325330255982955,0.07948142694991478
S00004,2026-01-01,455407,329051,57985,152592,260485,11885,2832,4767,0.17621888400278377,0.3350673134141548,0.5719828636801806,0.03611902106360412,0.008606568586632467,0.014487115978981982,,0.0,,0.0
S00004,2026-01-02,430743,311135,51572,142864,251751,11220,3442,5594,0.16575441528596913,0.33166876768746095,0.5844575535760302,0.036061516704967295,0.01106272196956305,0.017979333729731466,455407.0,-0.05415814864505819,0.0,-0.05415814864505819
S00004,2026-01-03,397751,274727,48098,134570,230692,9037,2465,6070,0.17507562052510312,0.33832724493464505,0.5799909993940933,0.032894473422706905,0.008972543652425863,0.022094661245527378,430743.0,-0.07659323540951335,-0.05415814864505819,-0.02243508676445516
S00004,2026-01-04,468120,342947,58574,158783,268240,10850,3674,6768,0.17079607052984863,0.3391929419806887,0.5730154661197984,0.03163754166095636,0.010713025627866697,0.01973482783053941,397751.0,0.17691721705287988,-0.07659323540951335,0.25351045246239323
S00004,2026-01-05,377058,256642,43848,126188,217470,8429,2516,4975,0.1708527832544946,0.33466469349543043,0.5767547698232102,0.03284341612051028,0.009803539560944818,0.019384979855206864,468120.0,-0.19452704434760315,0.17691721705287988,-0.37144426140048303
S00004,2026-01-06,381883,274732,44283,131564,220021,9398,3094,4756,0.1611861741624565,0.34451389561724405,0.5761476682648874,0.034207882591034175,0.011261884309072113,0.01731141621653102,377058.0,0.012796439805016657,-0.19452704434760315,0.2073234841526198
S00004,2026-01-07,445046,324826,60181,149576,258143,10632,2913,5928,0.18527149920265004,0.33609110069520903,0.5800366703666587,0.03273137002579843,0.008967878187090935,0.0182497706464384,381883.0,0.16539882634209957,0.012796439805016657,0.1526023865370829
S00004,2026-01-08,407960,297618,55185,141389,236225,9204,3072,5912,0.18542225268632945,0.3465756446710462,0.5790396117266399,0.03092554885793198,0.010321956333286293,0.019864389922652527,445046.0,-0.08333071188146846,0.16539882634209957,-0.24872953822356803
S00004,2026-01-09,428773,318750,58207,141961,245266,11886,3177,5018,0.18261019607843137,0.33108661226336544,0.5720182940623594,0.03728941176470588,0.009967058823529412,0.015742745098039215,407960.0,0.051017256593783644,-0.08333071188146846,0.1343479684752521
