genre,songs,avg_streams,avg_momentum,avg_hit_probability
Devotional,208,528324.9086538461,39.006099930387805,23.234615384615385
Hip-Hop,211,526510.4360189573,38.49225511227543,22.620284360189572
Romantic,197,523529.88324873097,37.72915909639091,20.46776649746193
Classical,224,523928.1473214286,36.58591236917933,20.073080357142857
Electronic,204,522364.4754901961,35.92205472062908,19.61328431372549
Folk,191,525098.0418848167,36.62689935762271,19.02958115183246
Pop,179,521930.7541899441,37.460243517899144,18.743072625698325
Indie,210,510243.85714285716,35.59254569415551,18.480333333333334
Rock,187,521291.5668449198,36.28883689545353,17.859304812834225
Lo-Fi,189,506211.61904761905,35.18866458337467,17.204550264550264
