language,songs,avg_streams,avg_momentum,avg_hit_probability
Bengali,91,534936.5274725275,38.03619933581933,22.296153846153846
Hindi,621,520937.30112721416,36.740684402221156,21.498260869565218
Malayalam,92,530182.8695652174,39.11802136307383,21.13586956521739
Punjabi,211,517350.83412322274,37.62272390094223,21.014549763033173
Kannada,87,527440.1034482758,35.61466879825927,19.86816091954023
Marathi,154,523938.1818181818,36.80783052114022,18.910779220779222
Telugu,143,525334.9370629371,36.79292962739921,18.483496503496504
English,394,514189.2741116751,36.556927231883364,17.928705583756344
Tamil,130,520727.0,37.16496869250919,17.581230769230768
Gujarati,77,519066.24675324676,35.398576814850315,15.66038961038961
