song_id,artist_id,album_id,song_name,language,genre,duration_seconds,artist_popularity
S00001,A0045,AL01053,Song_00001,Bengali,Devotional,159.27,74.32
S00002,A0387,AL00075,Song_00002,English,Electronic,239.33,90.16
S00003,A0327,AL00477,Song_00003,Malayalam,Hip-Hop,258.04,59.87
S00004,A0220,AL00550,Song_00004,Marathi,Rock,149.99,52.86
S00005,A0217,AL00957,Song_00005,Hindi,Lo-Fi,127.89,89.02
S00006,A0429,AL00155,Song_00006,Kannada,Folk,199.13,45.45
S00007,A0043,AL00521,Song_00007,English,Classical,259.32,81.16
S00008,A0348,AL00183,Song_00008,Hindi,Hip-Hop,237.14,5.38
S00009,A0101,AL00945,Song_00009,Hindi,Rock,246.34,0.13
S00010,A0047,AL00759,Song_00010,Tamil,Indie,192.51,52.83
S00011,A0263,AL00596,Song_00011,Hindi,Indie,162.29,7.36
S00012,A0487,AL00472,Song_00012,Hindi,Romantic,215.72,97.65
S00013,A0368,AL00184,Song_00013,Hindi,Pop,156.79,0.55
S00014,A0380,AL01106,Song_00014,English,Classical,250.72,71.81
S00015,A0359,AL00777,Song_00015,English,Electronic,155.45,24.34
S00016,A0393,AL00383,Song_00016,Punjabi,Romantic,172.43,96.76
S00017,A0257,AL00497,Song_00017,Hindi,Classical,211.18,38.15
S00018,A0064,AL00871,Song_00018,Hindi,Romantic,207.61,2.73
S00019,A0420,AL00863,Song_00019,Marathi,Hip-Hop,228.15,2.69
S00020,A0225,AL00553,Song_00020,English,Devotional,198.74,55.34
S00021,A0250,AL00364,Song_00021,Marathi,Hip-Hop,285.51,98.67
S00022,A0186,AL00792,Song_00022,Hindi,Hip-Hop,271.19,97.98
S00023,A0092,AL00790,Song_00023,Hindi,Lo-Fi,278.24,33.73
S00024,A0463,AL00720,Song_00024,Hindi,Romantic,233.31,48.27
S00025,A0391,AL00088,Song_00025,English,Romantic,234.3,10.05
S00026,A0322,AL00567,Song_00026,English,Lo-Fi,229.66,52.22
S00027,A0201,AL00737,Song_00027,Telugu,Indie,198.28,59.97
S00028,A0411,AL01140,Song_00028,English,Pop,177.98,25.11
S00029,A0273,AL00631,Song_00029,Punjabi,Classical,226.56,61.21
S00030,A0222,AL00411,Song_00030,Punjabi,Indie,124.6,89.97
S00031,A0225,AL00667,Song_00031,Hindi,Hip-Hop,121.34,0.1
S00032,A0114,AL00213,Song_00032,Punjabi,Indie,273.3,22.89
S00033,A0046,AL00109,Song_00033,English,Devotional,128.36,20.99
S00034,A0277,AL00814,Song_00034,English,Hip-Hop,214.46,12.39
S00035,A0444,AL01183,Song_00035,Hindi,Folk,230.7,16.61
S00036,A0032,AL01015,Song_00036,Telugu,Classical,155.67,62.59
S00037,A0429,AL00700,Song_00037,Malayalam,Lo-Fi,281.23,10.27
S00038,A0413,AL00049,Song_00038,Hindi,Pop,154.22,73.85
S00039,A0139,AL01185,Song_00039,Marathi,Rock,279.21,88.7
S00040,A0316,AL00540,Song_00040,Telugu,Electronic,257.34,92.66
S00041,A0083,AL00348,Song_00041,Hindi,Folk,163.33,66.02
S00042,A0379,AL01071,Song_00042,Telugu,Hip-Hop,147.13,19.74
S00043,A0350,AL00895,Song_00043,Marathi,Lo-Fi,176.92,8.53
S00044,A0177,AL00899,Song_00044,Malayalam,Romantic,191.63,23.2
S00045,A0034,AL00334,Song_00045,Gujarati,Classical,164.24,96.2
S00046,A0485,AL01190,Song_00046,Hindi,Rock,299.8,96.23
S00047,A0223,AL00543,Song_00047,English,Classical,161.34,38.19
S00048,A0446,AL00638,Song_00048,Punjabi,Lo-Fi,269.51,32.58
S00049,A0339,AL00901,Song_00049,Hindi,Electronic,148.64,51.0
S00050,A0389,AL00792,Song_00050,English,Electronic,296.44,29.17
S00051,A0380,AL00207,Song_00051,Gujarati,Hip-Hop,160.59,97.97
S00052,A0098,AL00363,Song_00052,Hindi,Lo-Fi,195.9,22.12
S00053,A0182,AL00434,Song_00053,English,Classical,220.54,36.91
S00054,A0233,AL01137,Song_00054,Bengali,Devotional,141.65,42.94
S00055,A0249,AL00857,Song_00055,English,Devotional,267.03,12.51
S00056,A0022,AL00440,Song_00056,English,Devotional,169.44,38.28
S00057,A0273,AL00881,Song_00057,Gujarati,Devotional,218.87,85.67
S00058,A0077,AL00886,Song_00058,English,Classical,218.93,14.04
S00059,A0371,AL00473,Song_00059,Hindi,Devotional,228.48,58.4
S00060,A0341,AL00484,Song_00060,Hindi,Lo-Fi,129.99,40.66
S00061,A0461,AL01073,Song_00061,Malayalam,Rock,150.35,17.05
S00062,A0372,AL00674,Song_00062,Hindi,Indie,149.01,1.23
S00063,A0183,AL00180,Song_00063,Punjabi,Romantic,174.37,27.33
S00064,A0483,AL00864,Song_00064,Hindi,Rock,146.08,6.18
S00065,A0206,AL00707,Song_00065,English,Electronic,285.95,37.68
S00066,A0163,AL00611,Song_00066,Malayalam,Devotional,212.33,81.02
S00067,A0452,AL00870,Song_00067,Punjabi,Hip-Hop,232.24,71.97
S00068,A0185,AL01088,Song_00068,Gujarati,Indie,184.35,94.74
S00069,A0039,AL00397,Song_00069,Hindi,Folk,169.72,42.7
S00070,A0235,AL00503,Song_00070,Punjabi,Romantic,210.57,70.78
S00071,A0398,AL00228,Song_00071,Bengali,Pop,172.98,66.53
S00072,A0095,AL00776,Song_00072,English,Rock,181.86,21.7
S00073,A0232,AL00483,Song_00073,Hindi,Devotional,201.5,30.36
S00074,A0065,AL00411,Song_00074,Bengali,Rock,211.03,52.98
S00075,A0343,AL00836,Song_00075,English,Folk,297.18,79.67
S00076,A0238,AL00490,Song_00076,Punjabi,Folk,160.2,46.18
S00077,A0165,AL00557,Song_00077,Gujarati,Indie,207.84,22.77
S00078,A0114,AL00528,Song_00078,Hindi,Rock,146.91,99.35
S00079,A0282,AL00310,Song_00079,English,Pop,183.0,11.56
S00080,A0335,AL00151,Song_00080,Hindi,Folk,249.12,95.59
S00081,A0470,AL00992,Song_00081,English,Folk,151.4,80.9
S00082,A0219,AL00110,Song_00082,Hindi,Classical,224.64,83.89
S00083,A0081,AL00390,Song_00083,Tamil,Indie,195.01,79.49
S00084,A0416,AL00801,Song_00084,Hindi,Electronic,129.28,20.82
S00085,A0315,AL00158,Song_00085,Marathi,Devotional,287.95,63.26
S00086,A0350,AL00786,Song_00086,Hindi,Romantic,194.45,75.67
S00087,A0049,AL00879,Song_00087,English,Devotional,261.11,74.57
S00088,A0156,AL00795,Song_00088,English,Lo-Fi,194.94,27.16
S00089,A0384,AL00366,Song_00089,Tamil,Electronic,288.72,18.11
S00090,A0416,AL00024,Song_00090,English,Classical,172.28,32.81
S00091,A0218,AL01064,Song_00091,English,Indie,194.2,47.98
S00092,A0402,AL00392,Song_00092,Bengali,Hip-Hop,256.6,57.38
S00093,A0421,AL00966,Song_00093,Punjabi,Devotional,181.86,83.7
S00094,A0194,AL00238,Song_00094,Hindi,Hip-Hop,185.58,76.9
S00095,A0449,AL00195,Song_00095,Kannada,Rock,299.07,67.62
S00096,A0144,AL00934,Song_00096,English,Hip-Hop,220.01,26.35
S00097,A0120,AL01127,Song_00097,Hindi,Rock,244.09,47.89
S00098,A0341,AL01032,Song_00098,English,Rock,235.82,33.54
S00099,A0318,AL00901,Song_00099,Hindi,Pop,269.03,23.49
S00100,A0070,AL00296,Song_00100,Hindi,Electronic,275.13,1.02
S00101,A0416,AL01095,Song_00101,Tamil,Classical,221.39,33.95
S00102,A0100,AL00801,Song_00102,Hindi,Lo-Fi,173.02,25.61
S00103,A0402,AL00207,Song_00103,Telugu,Romantic,124.1,57.19
S00104,A0004,AL00156,Song_00104,Malayalam,Devotional,230.59,6.23
S00105,A0398,AL01045,Song_00105,Marathi,Romantic,268.58,27.05
S00106,A0393,AL00330,Song_00106,Tamil,Indie,201.1,4.48
S00107,A0390,AL00919,Song_00107,Tamil,Classical,149.65,64.14
S00108,A0332,AL00167,Song_00108,Gujarati,Classical,171.85,56.82
S00109,A0236,AL00337,Song_00109,English,Devotional,211.8,33.75
S00110,A0352,AL00340,Song_00110,Hindi,Folk,270.6,14.73
S00111,A0139,AL00338,Song_00111,Punjabi,Rock,150.92,95.79
S00112,A0390,AL00810,Song_00112,Punjabi,Folk,230.19,58.44
S00113,A0278,AL01097,Song_00113,Hindi,Romantic,255.61,67.91
S00114,A0229,AL01092,Song_00114,Marathi,Hip-Hop,288.49,53.13
S00115,A0253,AL00890,Song_00115,Hindi,Rock,141.01,80.65
S00116,A0284,AL00243,Song_00116,Malayalam,Lo-Fi,286.75,89.64
S00117,A0019,AL01152,Song_00117,Hindi,Romantic,228.26,38.27
S00118,A0070,AL00650,Song_00118,Hindi,Rock,258.01,69.0
S00119,A0123,AL00655,Song_00119,Hindi,Classical,129.68,22.99
S00120,A0058,AL00841,Song_00120,Hindi,Folk,211.11,65.19
S00121,A0220,AL00923,Song_00121,Hindi,Classical,232.07,39.92
S00122,A0334,AL01143,Song_00122,Hindi,Lo-Fi,175.23,0.68
S00123,A0327,AL00699,Song_00123,Hindi,Electronic,197.7,95.55
S00124,A0236,AL00732,Song_00124,Hindi,Electronic,219.77,86.84
S00125,A0427,AL00894,Song_00125,English,Electronic,219.46,29.08
S00126,A0283,AL00306,Song_00126,English,Romantic,127.54,99.78
S00127,A0040,AL00369,Song_00127,English,Classical,199.11,31.71
S00128,A0382,AL00750,Song_00128,English,Indie,158.49,45.88
S00129,A0287,AL00077,Song_00129,Hindi,Hip-Hop,285.01,85.13
S00130,A0317,AL00385,Song_00130,Hindi,Romantic,295.78,30.46
S00131,A0283,AL00861,Song_00131,Hindi,Romantic,173.94,45.05
S00132,A0277,AL01171,Song_00132,Telugu,Electronic,151.53,66.56
S00133,A0046,AL00623,Song_00133,Gujarati,Devotional,159.51,13.05
S00134,A0280,AL00480,Song_00134,Malayalam,Hip-Hop,206.0,42.24
S00135,A0397,AL00529,Song_00135,Punjabi,Electronic,277.41,30.94
S00136,A0152,AL00822,Song_00136,Punjabi,Devotional,210.01,67.68
S00137,A0301,AL00653,Song_00137,English,Folk,129.97,13.6
S00138,A0016,AL00028,Song_00138,Telugu,Lo-Fi,127.18,23.27
S00139,A0174,AL00647,Song_00139,Telugu,Folk,160.93,71.14
S00140,A0218,AL00480,Song_00140,Bengali,Romantic,271.7,15.62
S00141,A0491,AL00841,Song_00141,Kannada,Electronic,231.87,42.2
S00142,A0108,AL01050,Song_00142,English,Rock,221.33,71.29
S00143,A0138,AL01154,Song_00143,Telugu,Classical,177.41,76.55
S00144,A0204,AL00732,Song_00144,Telugu,Devotional,287.3,9.49
S00145,A0496,AL00435,Song_00145,English,Devotional,179.61,85.2
S00146,A0426,AL00533,Song_00146,Malayalam,Classical,270.29,72.4
S00147,A0018,AL00212,Song_00147,Hindi,Lo-Fi,281.26,33.93
S00148,A0117,AL01123,Song_00148,Gujarati,Romantic,207.0,76.38
S00149,A0411,AL01016,Song_00149,Telugu,Pop,280.97,72.83
S00150,A0030,AL01024,Song_00150,Hindi,Pop,169.82,60.09
S00151,A0427,AL00394,Song_00151,Marathi,Folk,238.52,55.85
S00152,A0141,AL00387,Song_00152,Hindi,Classical,135.83,73.47
S00153,A0458,AL01028,Song_00153,Telugu,Classical,205.31,99.93
S00154,A0147,AL00653,Song_00154,Telugu,Devotional,159.12,57.86
S00155,A0217,AL00845,Song_00155,Marathi,Classical,131.3,80.87
S00156,A0331,AL00588,Song_00156,Bengali,Indie,120.67,74.43
S00157,A0064,AL00531,Song_00157,Hindi,Pop,178.46,85.58
S00158,A0278,AL00759,Song_00158,Hindi,Romantic,226.12,95.45
S00159,A0253,AL00975,Song_00159,English,Lo-Fi,201.94,19.31
S00160,A0392,AL00401,Song_00160,Hindi,Classical,174.32,16.55
S00161,A0498,AL00971,Song_00161,English,Romantic,298.42,58.64
S00162,A0332,AL00293,Song_00162,Hindi,Rock,289.11,44.93
S00163,A0205,AL00483,Song_00163,English,Rock,142.62,57.07
S00164,A0203,AL01095,Song_00164,English,Hip-Hop,194.72,79.8
S00165,A0209,AL01145,Song_00165,Kannada,Hip-Hop,236.79,93.17
S00166,A0407,AL01108,Song_00166,Hindi,Electronic,252.03,41.74
S00167,A0161,AL00379,Song_00167,Kannada,Romantic,185.95,71.79
S00168,A0084,AL01012,Song_00168,English,Rock,254.33,19.68
S00169,A0167,AL01123,Song_00169,English,Classical,142.35,53.46
S00170,A0012,AL01173,Song_00170,Punjabi,Indie,179.73,2.18
S00171,A0053,AL00026,Song_00171,English,Folk,248.96,50.38
S00172,A0045,AL00894,Song_00172,Hindi,Lo-Fi,232.62,54.53
S00173,A0386,AL01196,Song_00173,Punjabi,Hip-Hop,270.7,73.54
S00174,A0361,AL00917,Song_00174,Hindi,Indie,128.43,64.95
S00175,A0348,AL00280,Song_00175,English,Pop,151.39,35.84
S00176,A0231,AL00915,Song_00176,Punjabi,Devotional,128.73,0.57
S00177,A0358,AL00127,Song_00177,English,Romantic,154.58,11.55
S00178,A0081,AL00577,Song_00178,Bengali,Pop,120.77,97.31
S00179,A0450,AL00751,Song_00179,Hindi,Devotional,210.76,92.23
S00180,A0251,AL00548,Song_00180,Gujarati,Romantic,215.1,32.51
S00181,A0469,AL00840,Song_00181,Telugu,Classical,238.42,25.89
S00182,A0077,AL00289,Song_00182,Gujarati,Romantic,189.28,43.64
S00183,A0249,AL00727,Song_00183,Bengali,Electronic,120.58,68.99
S00184,A0348,AL00774,Song_00184,Hindi,Electronic,241.3,35.68
S00185,A0248,AL00760,Song_00185,Punjabi,Indie,129.77,6.73
S00186,A0223,AL00347,Song_00186,Hindi,Folk,275.91,40.28
S00187,A0083,AL00367,Song_00187,Telugu,Classical,124.08,26.06
S00188,A0191,AL00310,Song_00188,Punjabi,Romantic,215.49,32.49
S00189,A0120,AL00554,Song_00189,Hindi,Romantic,281.09,16.3
S00190,A0151,AL00703,Song_00190,Malayalam,Hip-Hop,223.05,65.88
S00191,A0342,AL00435,Song_00191,Hindi,Hip-Hop,229.52,52.66
S00192,A0315,AL00492,Song_00192,Punjabi,Rock,242.69,27.09
S00193,A0303,AL00344,Song_00193,Tamil,Hip-Hop,142.03,55.39
S00194,A0181,AL00263,Song_00194,Hindi,Indie,241.49,49.27
S00195,A0479,AL00789,Song_00195,Punjabi,Romantic,278.46,79.6
S00196,A0044,AL00979,Song_00196,Telugu,Devotional,295.36,95.6
S00197,A0171,AL00349,Song_00197,Hindi,Rock,199.75,13.07
S00198,A0059,AL01032,Song_00198,Punjabi,Devotional,182.01,88.39
S00199,A0170,AL00685,Song_00199,Hindi,Indie,255.6,70.48
S00200,A0480,AL00202,Song_00200,Marathi,Lo-Fi,217.72,69.26
S00201,A0183,AL00439,Song_00201,Hindi,Classical,166.31,37.43
S00202,A0454,AL00010,Song_00202,Malayalam,Hip-Hop,150.99,34.39
S00203,A0248,AL00047,Song_00203,Kannada,Indie,150.64,0.56
S00204,A0350,AL00404,Song_00204,Hindi,Devotional,202.65,98.22
S00205,A0229,AL00545,Song_00205,English,Classical,150.62,60.65
S00206,A0133,AL00957,Song_00206,Punjabi,Indie,123.55,40.23
S00207,A0382,AL00162,Song_00207,Tamil,Classical,129.38,54.38
S00208,A0484,AL01007,Song_00208,English,Rock,287.38,4.05
S00209,A0132,AL00282,Song_00209,Hindi,Rock,133.13,17.37
S00210,A0389,AL00166,Song_00210,Hindi,Lo-Fi,133.17,62.34
S00211,A0131,AL00840,Song_00211,Gujarati,Devotional,201.21,51.43
S00212,A0358,AL00929,Song_00212,English,Pop,164.12,78.71
S00213,A0394,AL00726,Song_00213,Kannada,Lo-Fi,293.28,65.87
S00214,A0225,AL00139,Song_00214,English,Electronic,283.98,60.14
S00215,A0368,AL00139,Song_00215,Malayalam,Pop,192.85,81.53
S00216,A0136,AL00468,Song_00216,Hindi,Electronic,200.77,6.83
S00217,A0040,AL00541,Song_00217,Hindi,Indie,187.52,69.09
S00218,A0049,AL01198,Song_00218,Malayalam,Lo-Fi,126.82,71.56
S00219,A0224,AL00344,Song_00219,Malayalam,Classical,172.71,27.52
S00220,A0451,AL00231,Song_00220,English,Indie,142.08,19.56
S00221,A0064,AL01135,Song_00221,English,Rock,138.43,21.39
S00222,A0228,AL00185,Song_00222,English,Rock,220.96,19.81
S00223,A0352,AL00032,Song_00223,English,Devotional,137.78,52.38
S00224,A0101,AL00507,Song_00224,Hindi,Folk,138.53,13.56
S00225,A0361,AL00481,Song_00225,Kannada,Folk,206.49,65.93
S00226,A0153,AL00743,Song_00226,Hindi,Electronic,199.61,10.51
S00227,A0404,AL01053,Song_00227,Tamil,Devotional,144.77,2.69
S00228,A0290,AL01119,Song_00228,Hindi,Indie,120.8,31.93
S00229,A0273,AL00348,Song_00229,Hindi,Rock,154.74,19.19
S00230,A0089,AL01177,Song_00230,Marathi,Electronic,162.46,98.87
S00231,A0232,AL00759,Song_00231,English,Rock,264.04,30.3
S00232,A0428,AL00084,Song_00232,Marathi,Hip-Hop,284.78,22.21
S00233,A0010,AL01126,Song_00233,Hindi,Folk,193.07,19.68
S00234,A0379,AL00166,Song_00234,Malayalam,Indie,192.9,37.39
S00235,A0246,AL00706,Song_00235,Tamil,Rock,248.25,60.58
S00236,A0360,AL00949,Song_00236,Kannada,Folk,232.85,78.19
S00237,A0331,AL00300,Song_00237,Hindi,Lo-Fi,153.15,36.46
S00238,A0216,AL00325,Song_00238,English,Rock,139.38,62.6
S00239,A0155,AL00571,Song_00239,English,Indie,198.77,48.21
S00240,A0314,AL01061,Song_00240,Punjabi,Classical,221.67,84.65
S00241,A0070,AL00269,Song_00241,Hindi,Electronic,144.97,56.9
S00242,A0292,AL00796,Song_00242,Hindi,Lo-Fi,172.79,28.99
S00243,A0048,AL00543,Song_00243,English,Indie,175.07,70.36
S00244,A0325,AL00135,Song_00244,Hindi,Electronic,167.03,82.01
S00245,A0314,AL00853,Song_00245,English,Indie,202.94,46.54
S00246,A0043,AL00999,Song_00246,Hindi,Folk,237.55,98.72
S00247,A0378,AL00691,Song_00247,Hindi,Classical,211.69,87.91
S00248,A0208,AL00212,Song_00248,Marathi,Rock,156.26,19.7
S00249,A0393,AL00187,Song_00249,English,Classical,138.53,78.68
S00250,A0021,AL00508,Song_00250,English,Lo-Fi,267.94,60.1
