user_id,age_group,region,subscription_type
U000001,35-44,Telangana,Premium
U000002,18-24,Kerala,Premium
U000003,25-34,Karnataka,Free
U000004,18-24,Gujarat,Free
U000005,18-24,Maharashtra,Free
U000006,35-44,Karnataka,Free
U000007,18-24,Punjab,Premium
U000008,25-34,Delhi,Free
U000009,25-34,Telangana,Free
U000010,18-24,Gujarat,Free
U000011,25-34,Delhi,Free
U000012,25-34,Gujarat,Premium
U000013,35-44,Gujarat,Free
U000014,18-24,Gujarat,Free
U000015,45+,Maharashtra,Free
U000016,35-44,Uttar Pradesh,Free
U000017,25-34,Tamil Nadu,Free
U000018,25-34,Telangana,Free
U000019,35-44,Karnataka,Free
U000020,35-44,Telangana,Free
U000021,18-24,Telangana,Premium
U000022,45+,Kerala,Free
U000023,45+,Karnataka,Premium
U000024,25-34,Delhi,Premium
U000025,35-44,Telangana,Free
U000026,25-34,Kerala,Premium
U000027,35-44,Maharashtra,Free
U000028,35-44,Gujarat,Free
U000029,18-24,Gujarat,Premium
U000030,18-24,Telangana,Premium
U000031,18-24,Uttar Pradesh,Free
U000032,45+,Karnataka,Free
U000033,25-34,Delhi,Free
U000034,35-44,West Bengal,Free
U000035,25-34,West Bengal,Premium
U000036,18-24,Uttar Pradesh,Free
U000037,45+,Punjab,Free
U000038,25-34,Delhi,Premium
U000039,25-34,West Bengal,Free
U000040,18-24,Karnataka,Free
U000041,18-24,Delhi,Free
U000042,18-24,West Bengal,Free
U000043,25-34,Delhi,Free
U000044,25-34,Gujarat,Free
U000045,18-24,Karnataka,Free
U000046,18-24,West Bengal,Free
U000047,18-24,Telangana,Premium
U000048,25-34,Telangana,Free
U000049,45+,Karnataka,Premium
U000050,25-34,Maharashtra,Premium
U000051,18-24,West Bengal,Premium
U000052,25-34,Tamil Nadu,Free
U000053,45+,Uttar Pradesh,Free
U000054,35-44,Gujarat,Premium
U000055,35-44,Maharashtra,Premium
U000056,45+,Karnataka,Free
U000057,25-34,Tamil Nadu,Free
U000058,45+,Karnataka,Free
U000059,18-24,Kerala,Free
U000060,35-44,Karnataka,Free
U000061,35-44,Delhi,Premium
U000062,45+,Karnataka,Free
U000063,25-34,Kerala,Free
U000064,35-44,Tamil Nadu,Free
U000065,18-24,Punjab,Premium
U000066,25-34,Kerala,Free
U000067,25-34,Maharashtra,Free
U000068,25-34,Tamil Nadu,Premium
U000069,25-34,Delhi,Free
U000070,18-24,West Bengal,Free
U000071,18-24,Gujarat,Free
U000072,18-24,Tamil Nadu,Free
U000073,25-34,Uttar Pradesh,Free
U000074,25-34,Gujarat,Free
U000075,35-44,Kerala,Free
U000076,18-24,Delhi,Free
U000077,35-44,Maharashtra,Free
U000078,25-34,Delhi,Premium
U000079,18-24,Karnataka,Premium
U000080,18-24,Tamil Nadu,Free
U000081,25-34,Punjab,Free
U000082,25-34,Uttar Pradesh,Free
U000083,18-24,Kerala,Free
U000084,18-24,West Bengal,Free
U000085,18-24,West Bengal,Free
U000086,18-24,West Bengal,Premium
U000087,18-24,Gujarat,Premium
U000088,35-44,Karnataka,Premium
U000089,25-34,Delhi,Free
U000090,25-34,Punjab,Premium
U000091,25-34,Punjab,Free
